TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"인천국제공항","202504","네이버카페","0.00000",,,,"4.50000","31729.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","7518427.00000","8447425.00000","-11.00000","115663113.00000","69560219.00000","46102894.00000"
"코엑스몰","202504","네이버카페","0.00000",,,,"4.30000","23861.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","영동대로","18179983.00000","19186622.00000","-5.20000","216926401.00000","114933401.00000","101993000.00000"
"강남","202504","네이버카페","8.00000","8.00000",,"1.00000","4.10000","594.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","18179983.00000","19186622.00000","-5.20000","216926401.00000","114933401.00000","101993000.00000"
"명동","202504","네이버카페","0.00000",,,,"4.30000","24680.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","12161355.00000","12871649.00000","-5.50000","309192808.00000","193262398.00000","115930410.00000"
"성수동","202504","네이버카페","0.00000",,,,"4.60000","20.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6105130.00000","6828433.00000","-10.60000","36869169.00000","27038314.00000","9830855.00000"
"파르나스몰","202504","뉴스","0.00000",,,,"4.30000","443.00000","쇼핑몰","37.5091322","127.0608511","서울특별시 KR 서울특별시 강남구 삼성동 159-8번지 그랜드인터콘티넨탈호텔 지하1층 F34호","서울특별시","KR","18179983.00000","19186622.00000","-5.20000","216926401.00000","114933401.00000","101993000.00000"
"첨성대","202504","뉴스","0.00000",,,,"4.50000","19770.00000","역사적 장소","35.8346828","129.2190631","경상북도 경주시 인왕동 839-1","경상북도","경주시","4025546.00000","3896245.00000","3.30000","23186808.00000","21103078.00000","2083730.00000"
"청계천","202504","뉴스","0.00000",,,,"4.50000","9348.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","중구","11936438.00000","13247027.00000","-9.90000","80442389.00000","54299851.00000","26142538.00000"
"광화문","202504","뉴스","0.00000",,,,"4.40000","13165.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11936438.00000","13247027.00000","-9.90000","80442389.00000","54299851.00000","26142538.00000"
"레고랜드","202504","뉴스","0.00000",,,,"4.30000","3901.00000","테마파크","37.8847787","127.6970027","강원특별자치도 춘천시 하중도길 128","강원특별자치도","춘천시","2179831.00000","2717711.00000","-19.80000","14746343.00000","14121370.00000","624973.00000"
