TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE,FILE_YM,CATEGORY,CHNNEL_NM_NORM,DATE
DDP 동대문디자인플라자,202411,채널전체,350.0,18.0,92.0,-0.8,4.3,29759.0,문화센터,37.5665256,127.0092236,서울특별시 중구 을지로 281,서울특별시,중구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
ifc몰,202411,채널전체,4.0,,,,4.4,1830.0,쇼핑몰,37.5250243,126.9258867,서울특별시 영등포구 여의동 23,서울특별시,영등포구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
가로수길,202411,채널전체,24.0,,8.0,-1.0,4.3,225.0,관광 명소,37.5210566,127.0228686,서울특별시 강남구 신사동 667-13,서울특별시,강남구,9454196.0,9271262.0,2.0,816504208.0,67574289.0,21336550.0,202411,KBEAUTY,채널전체,2024-11-01
갈매,202411,채널전체,6.0,,,,5.0,1.0,공원,37.6328602,127.1174649,경기도 구리시 갈매동 285-8,경기도,구리시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
강남,202411,채널전체,1596.0,80.0,144.0,-0.4,4.1,591.0,관광 명소,37.4966645,127.0629804,서울특별시 강남구 남부순환로 2949-2,서울특별시,강남구,3839150.0,3655799.0,5.0,112673583.0,8926866.0,126363.0,202411,KBEAUTY,채널전체,2024-11-01
거제,202411,채널전체,8.0,,,,4.4,8125.0,관광 명소,34.8931951,128.6091247,경상남도 거제시 장평동 7-9,경상남도,거제시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
건대입구,202411,채널전체,542.0,,,,4.1,793.0,쇼핑몰,37.540372,127.069276,서울특별시 화양동 건대입구,서울특별시,광진구,1733098.0,1616121.0,7.2,96220770.0,6907432.0,1092548.0,202411,KBEAUTY,채널전체,2024-11-01
경복궁,202411,채널전체,12.0,,,,4.6,42529.0,문화적 랜드마크,37.579617,126.977041,서울특별시 종로구 사직로 161,서울특별시,종로구,5808425.0,5600444.0,3.7,258946674.0,20635158.0,13048789.0,202411,KBEAUTY,채널전체,2024-11-01
고척스카이돔,202411,채널전체,20.0,,,,4.4,1422.0,야구장,37.498931,126.8670866,서울특별시 구로구 고척동 63-6,서울특별시,구로구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
공덕,202411,채널전체,6.0,,,,3.9,2914.0,재래시장,37.54322,126.951576,서울특별시 공덕역,서울특별시,마포구,5463955.0,5095121.0,7.2,318561631.0,26575026.0,1776177.0,202411,KBEAUTY,채널전체,2024-11-01
